,job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,salary_currency,education_required,years_experience,company_name
0,AI Research Scientist,90376,SE,CT,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",USD,Bachelor,9,Smart Analytics
1,AI Software Engineer,61895,EN,CT,Canada,100,"Deep Learning, AWS, Mathematics, Python, Docker",USD,Master,1,TechCorp Inc
2,AI Specialist,152626,MI,FL,Switzerland,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",USD,Associate,2,Autonomous Tech
3,NLP Engineer,80215,SE,FL,India,50,"Scala, SQL, Linux, Python",USD,PhD,7,Future Systems
4,AI Consultant,54624,EN,PT,France,100,"MLOps, Java, Tableau, Python",EUR,Master,0,Advanced Robotics
5,AI Architect,123574,SE,CT,Germany,50,"Data Visualization, R, SQL, Linux",EUR,Associate,7,Neural Networks Co
6,Principal Data Scientist,79670,MI,FL,United Kingdom,0,"R, Docker, MLOps",GBP,Associate,3,DataVision Ltd
7,NLP Engineer,70640,EN,FL,France,0,"Python, SQL, Computer Vision, Java, Azure",EUR,Master,0,Cloud AI Solutions
8,Data Analyst,160710,SE,CT,Singapore,0,"Hadoop, Git, Mathematics, Python",USD,PhD,7,Quantum Computing Inc
9,AI Software Engineer,102557,SE,PT,Austria,0,"MLOps, GCP, Scala, Azure, Linux",USD,Master,5,Cloud AI Solutions
10,Autonomous Systems Engineer,102322,SE,PT,Sweden,100,"MLOps, Python, SQL",USD,Associate,8,Smart Analytics
11,AI Architect,115047,EX,CT,South Korea,0,"R, Data Visualization, Python, Azure",USD,Master,15,TechCorp Inc
12,AI Consultant,124355,SE,CT,France,100,"Tableau, Python, TensorFlow",EUR,PhD,5,Predictive Systems
13,Autonomous Systems Engineer,68760,EN,CT,Norway,0,"Scala, SQL, Statistics",USD,Master,0,Cloud AI Solutions
14,AI Research Scientist,150122,SE,FT,Sweden,100,"PyTorch, Python, Data Visualization, GCP",USD,Associate,6,Advanced Robotics
15,AI Product Manager,78846,EN,PT,United Kingdom,0,"Linux, Statistics, Deep Learning",GBP,PhD,0,DataVision Ltd
16,Principal Data Scientist,59823,EN,FT,India,100,"Tableau, NLP, Spark",USD,Bachelor,1,Predictive Systems
17,Machine Learning Engineer,181139,EX,CT,France,100,"MLOps, PyTorch, Azure",EUR,Associate,15,AI Innovations
18,Data Engineer,155300,SE,CT,Singapore,0,"Git, Hadoop, R, Python, Spark",USD,Associate,9,Algorithmic Solutions
19,Research Scientist,93851,MI,PT,Netherlands,100,"Java, Scala, NLP, Docker, Computer Vision",EUR,PhD,4,AI Innovations
20,Data Engineer,134197,MI,FT,Norway,0,"Deep Learning, AWS, Azure",USD,Bachelor,3,AI Innovations
21,Autonomous Systems Engineer,102550,MI,PT,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",USD,Bachelor,2,Cognitive Computing
22,ML Ops Engineer,99382,SE,CT,Germany,0,"Hadoop, Git, Tableau",EUR,PhD,7,Quantum Computing Inc
